"1","000002","東北","n","2010-05-14 19:38:22","system  ","2013-04-10 11:25:59","system  ","c"
"2","000003","関東Ⅰ","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"3","000004","関東Ⅱ","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"4","000005","関東Ⅲ","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"5","000006","関東Ⅳ","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"6","000007","東海北陸","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"7","000008","近畿Ⅰ","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"8","000009","近畿Ⅱ","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"9","000010","中国・四国","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"10","000011","九州","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"11","002037","ｷｬﾘｱ販売","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"12","003075","海外戦略ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"13","005015","九州ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"14","005020","中国ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","d"
"15","005024","神奈川・静岡ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"16","005026","関東ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"17","005040","北海道ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","d"
"18","005042","北海道･東北ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"19","005044","北関東ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"20","005046","甲信越ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"21","005048","南関東ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","d"
"22","005050","中部ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","d"
"23","005052","中部ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"24","005054","南近畿ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"25","005056","北近畿ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"26","005058","中国･四国ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"27","005122","ﾒﾝｽﾞｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"28","009999","雑ｴﾘｱ","y","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"29","999999","ｴﾘｱ設定なし","n","2010-05-14 19:38:22","system  ","2010-05-14 19:38:22","system  ","a"
"30","000001","北海道","n","2013-04-10 11:25:59","system  ","2013-04-10 11:25:59","system  ","a"